Title,HCO,Subheading,Street,City,State,GIP,Accreditation,Accreditation Decision,Effective Date,Last Full Survey Date,Last On-Site Survey Date
"Hospice of Marion County, Inc.",510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,9/29/2023,9/28/2023,9/28/2023
E. W. & Lucille Cates House,,,9505 SW 110th St.,Ocala, FL, 34481,,,,,
Brandley House,,,17395 SE 109th Terrace Road,Summerfield, FL, 34491,,,,,
Grace Davis Hall House,,,2893 SE 62nd St.,Ocala, FL, 34480,,,,,
Palliative Care Pharmacy,,,2891 SE 62nd Street,Ocala, FL, 34480,,,,,
"Center for Comprehensive Palliative Care,",,,1528 SW 1st Avenue,Ocala, FL, 34471,,,,,
Monarch Center for Hope and Healing,,,2895 SE 62nd st,Ocala, FL, 34480,,,,,
"Hospice Of Grace, Inc",510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,6/25/2022,6/24/2022,6/24/2022
"Royz, Inc.",510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,7/9/2022,12/8/2023,12/8/2023
"Vega Healthcare, Inc.",510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,11/17/2022,11/17/2023,11/17/2023
Harbor Hospice of Central Houston LP,510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,11/4/2023,2/11/2022,11/3/2023
"Destiny Hospice Care, Inc.",510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,4/23/2022,4/22/2022,4/22/2022
"Charter High Desert Health Care Group, LLC",510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,8/27/2022,8/26/2022,8/26/2022
"Burnet Hospice Care, Inc.",510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,5/13/2023,5/12/2023,6/26/2023
"AB Safe Haven Palliative & Hospice Care, Inc.",510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,6/25/2022,6/24/2022,6/24/2022
Hospice of the North Coast,510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,8/27/2022,8/26/2022,8/26/2022
Hospice of the North Coast,,,4411 Park Drive,Carlsbad, CA, 92008,,,,,
"Calcare Hospice, Inc.",510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,10/7/2023,10/6/2023,10/6/2023
Charity Hospice Care Inc.,510844,,3231 SW 34th Ave,Ocala,FL,34474,Home Care,Accredited,10/1/2022,9/30/2022,9/30/2022
